"Nom","Description synopsis","Nom Saison","Titre Épisode","Description Épisode","Durée","Épisodes Inclus","Nom Fichier Image"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Soul Society","Intruderz","Pour prévenir leur atterrissage, chaque groupe improvise : tandis qu'Inoue utilise le « Triple lien sacré du bouclier », Ganju utilise le « Tournement du sable », pour ralentir la chute ; Yoruichi n'a besoin que de son agilité pour amortir sa chute, devant quelques Shinigami qui n'ont que le temps de l'apercevoir avant sa rapide disparition.","1:39:28","26 - 32","14_Bleach_Intruderz.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Soul Society","The Dead & the Undead","Après avoir battu Renji, Ichigo s'écroule à son tour. Ganju et Hanataro l'emportent dans les sous-sols pour pouvoir le soigner, évitant l'arrivée des renforts, mené par le lieutenant de la troisième division, Izuru Kira. Celui-ci veille Renji avec Momo Hinamori, lieutenant de la cinquième division, tous deux ayant été des compagnons d'étude de Renji.","1:46:54","34 - 40","14_Bleach_The Dead _ the Undead.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Soul Society","Secrets of the Moon","La petite Yachiru remercie Ichigo d'avoir donné autant de plaisir à Kenpachi Zaraki lors de ce combat. Ichigo est mourant, Kenpachi est emmené par Yachiru. Cette dernière se souvient du moment où ils se sont rencontrés.","1:33:44","40 - 45","14_Bleach_Secrets of the Moon.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Soul Society","Suspicion for Assassination","Tôsen Kaname, le capitaine de la 9e division endort Uryû avec le pouvoir de son Zanpakuto. De son côté, après avoir écouté les explications de Yoruichi, Ichigo commence son entraînement.","1:15:39","45 - 51","14_Bleach_Suspicion for Assassination.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Soul Society","No Goodbye","Alors que des Shinigami masqués sortent Rukia de sa cellule pour l'emmener au lieu de l'exécution, Kenpachi Zaraki court en portant Yachiru et Orihime sur le dos, suivi d'Ikkaku, Yumichika et d'Aramaki. Orihime indique la direction à Zaraki mais Yachiru en choisit une autre.","2:05:39","51 - 57","14_Bleach_No Goodbye.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Soul Society","End of Hypnosis","Combat intense entre Ichigo et Byakuya Kuchiki. Ichigo provoque le capitaine de la 6e division pour qu'il libère son bankai. Byakuya libère alors son bankai : Senbonzakura Kageyoshi, des lames immenses surgissent du sol.","2:00:32","58 - 64","14_Bleach_End of Hypnosis.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Arrancars","Eyes of the Unknown","Ichigo rencontre Shinji Hirako, un mystérieux nouveau venu qui lui propose de rejoindre les Vizards. Alors que Grand Fisher, devenu Arrancar, menace Karakura, Ichigo se retrouve confronté à son propre hollow intérieur. Les tensions montent avec l'apparition de puissants ennemis, et des révélations sur les véritables intentions des Arrancars commencent à émerger.","01:39:34","110 - 115","14_Bleach_Eyes of the Unknown.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Arrancars","Mala Suerte","Des ombres mystérieuses se lèvent à Karakura alors que Rukia s’installe chez Ichigo et que les Arrancars, menés par Grimmjow, envahissent la ville. Des batailles intenses éclatent, mettant à l’épreuve les Shinigamis et leurs alliés. Ichigo, perdu face à la puissance de Grimmjow, commence à sombrer sous l’influence de son hollow intérieur, forçant le jeune Shinigami à se tourner vers les Vizards, dans l’espoir de maîtriser ce qui le menace.","01:42:06","116 - 122","14_Bleach_Mala Suerte.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Arrancars","Shaking Throne","Dans une course contre la montre, Ichigo lutte contre son hollow intérieur après un combat avec Hiyori, qui le pousse à se surpasser. Entraîné par les Vizards, Ichigo doit affronter son propre double dans un duel décisif dans son monde intérieur. Pendant ce temps, Aizen, avec l’aide de ses arrancars, prépare des plans mystérieux, cherchant à sacrifier Karakura pour ouvrir un passage vers le Palais Royal. Les alliés d'Ichigo se préparent, tandis qu'un mystérieux pouvoir se révèle au sein du groupe de Vizards.","01:33:34","122 - 138","14_Bleach_Shaking Throne.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Arrancars","The Mascaron Drive","L’affrontement entre Ichigo et Grimmjow atteint un nouveau sommet alors qu'Ichigo libère son masque de hollow pour surpasser son adversaire, mais l’issue reste incertaine. Luppi, le nouvel Espada, défie l'unité d'Hitsugaya tandis qu'Ulquiorra menace Orihime, l'obligeant à se rendre au Hueco Mundo. Dans une course effrénée contre le temps, Ichigo, accompagné de Chad et Uryû, décide de partir en mission périlleuse dans le royaume des arrancars pour sauver Orihime, tandis que celle-ci se prépare à un sacrifice inévitable.","01:25:32","138 - 143","14_Bleach_The Mascaron Drive.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Arrancars","United On The Desert","Ichigo, Uryû et Chad pénètrent dans les couloirs de Hueco Mundo, où ils affrontent des ennemis mystérieux et découvrent des secrets qui les mènent à Las Noches. Là, Ichigo se retrouve face à un adversaire inattendu, tandis qu' Orihime, prise dans l'ombre d'Aizen, fait face à un choix crucial. Les alliances se forment, mais les véritables intentions restent floues, et des révélations inattendues chamboulent tout.","01:38:20","143 - 153","14_Bleach_United On The Desert.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Arrancars","The Slashing Opera","Rukia affronte un ennemi familier, mais la vérité derrière son visage la surprend. Uryû et Chad combattent des adversaires puissants, tandis qu'Ichigo se lance dans un duel avec un Espada mystérieux. Orihime, au cœur du Hueco Mundo, fait face à de nouveaux dangers. Les alliances vacillent et les secrets se révèlent.","01:56:25","154 - 162","14_Bleach_The Slashing Opera.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Arrancars","Unleash the Beast","Grimmjow sauve Orihime, mais son geste cache bien plus que de la reconnaissance. Pendant ce temps, Uryû et Renji luttent contre Szayelaporro, piégé dans un combat où chaque attaque semble vaine. Ichigo, soigné par Orihime, se prépare à affronter Grimmjow. Le duel s'intensifie, mais Ichigo est dépassé, jusqu'à ce qu'une puissance cachée le force à briser ses limites. Le combat prend une tournure fatale, et la peur d'Orihime se mêle à l'espoir de Nel.","02:37:32","162 - 195","14_Bleach_Unleash the Beast.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Arrancars","Intruderz 2","Kenpachi écrase Tesla d'un seul coup et défie Nnoitra, tandis que d'autres capitaines arrivent. Byakuya affronte Zommari, utilisant une technique inédite pour contrer son pouvoir mortel. Après un combat intense, Zommari est écrasé par la précision de Byakuya. Mayuri, pris au piège par Szayelaporro, dévoile un secret surprenant et libère son Bankai, transformant le combat en un jeu de survie. Dans ce chaos, les alliés luttent pour leur survie, et les mystères de l'âme se dévoilent peu à peu.","01:59:42","196 - 203","14_Bleach_Intruderz 2.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Arrancars","Turn Back the Pendulum","110 ans avant l'histoire, Shinji et Aizen, capitanes, observent un tournant dans la Soul Society. Urahara, fraîchement nommé capitaine de la 12e division, défie les attentes de ses subordonnés, notamment Hiyori, qui le teste. Entre intrigues et secrets, il forme un bureau clandestin et recrute Mayuri, le plus dangereux des prisonniers. Tandis qu'une menace mystérieuse frappe le Rukongai, des disparitions inexpliquées secouent la Soul Society. Kensei, en mission, est pris au piège par un assaillant invisible, marquant le début d'une sombre histoire.","01:37:19","206 - 212","14_Bleach_Turn Back the Pendulum.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Arrancars","Knockdown Monsters","Aizen, Gin et Tôsen arrivent à Karakura, défiant les capitaines. Yamamoto les piège dans les flammes, tandis qu'Ichigo se lance à la recherche d'Orihime, affrontant Ulquiorra. Les Espadas déchaînent leur puissance, les Shinigamis luttent pour protéger Karakura. Secrets et forces cachées se révèlent à chaque affrontement.","02:21:07","215 - 226","14_Bleach_Knockdown Monsters.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Arrancars","heart","Ichigo et Ulquiorra s'affrontent dans un duel intense, tandis que des alliés luttent contre des menaces tout autour. Orihime protège Ichigo, mais Yammy intervient, semant le chaos. Alors qu'Ichigo se transforme en hollow pour riposter, Ulquiorra dévoile une forme encore plus redoutable. La bataille atteint un point culminant, mais la fin semble inéluctable pour Ichigo, face à un adversaire implacable.","02:07:49","267 - 278","14_Bleach_heart.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Arrancars","Vice it","Il y a 101 ans, des expériences d'Aizen ont transformé certains Shinigamis en Vizards, devenus ses ennemis. Aujourd'hui, ils s'opposent à lui, mais leur alliance avec Ichigo reste fragile. Sur le champ de bataille, de nombreux combats font rage, chacun portant le poids de secrets anciens. L'ombre d'Aizen plane sur tous, et les Vizards ne sont pas les seuls à avoir des comptes à régler.","02:24:39","279 - 291","14_Bleach_Vice it.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Arrancars","Back from Blind","Aizen manipule Ichigo, jouant avec ses émotions et ses alliés, tout en se révélant presque invincible. Les Shinigamis et Vizards unissent leurs forces pour le stopper, mais leurs attaques échouent face à sa maîtrise des illusions. Quand l'ultime confrontation semble inévitable, la vérité derrière le plan d'Aizen et ses manipulations de longue date éclate au grand jour.","01:42:50","292 - 301","14_Bleach_Back from Blind.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Arrancars","Deicide","Dans le Dangai, Ichigo cherche à maîtriser une nouvelle forme de pouvoir, tandis que des événements inattendus se déroulent à Karakura. Des alliances se forment, des trahisons se dessinent, et des secrets longtemps cachés commencent à émerger. Alors qu'une grande bataille se prépare, chacun devra faire face à des choix déchirants.","01:43:22","302 - 342","14_Bleach_Deicide.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Fullbring","Welcome to Our Xcution","Dix-sept mois après la guerre, Ichigo mène une vie calme, loin des ténèbres du passé. Mais une rencontre fortuite réveille des échos de son ancien destin. Alors que des ombres du passé resurgissent, des questions sans réponses hantent ses jours. La tranquillité d'une vie ""normale"" est-elle vraiment ce qu'il désire ?","02:04:28","343 - 350",""
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Fullbring","End of All Bonds","L'entraînement d'Ichigo prend une tournure inattendue lorsqu'une force obscure refait surface. Tsukishima et Ginjo, figures mystérieuses de son passé, remettent en question son avenir et ses alliés. Les batailles se multiplient, et à chaque coup, Ichigo se rapproche un peu plus de la vérité, mais aussi de sa propre perte. Qui sont vraiment ses ennemis, et à quel prix sera-t-il prêt à tout sacrifier ?","01:47:57","351 - 360",""
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Fullbring","Fullbring","","1:57:30","","14_Bleach_Fullbring.webp"
